"名前","ふりがな","時代","関連（場所・分野）","肩書き","説明","アイコン","図鑑掲載"
"北条時宗","北条時宗","交易と王国の時代","東アジアと中央アジア","交易と王朝を動かした人","北条時宗は東アジアと中央アジアで王朝政治、草原の交流、紙や印刷、海と陸の交易に関わりました。人と物と考えが広く移動した時代を表します。","🐫","カタログのみ"
"足利義満","足利義満","交易と王国の時代","東アジアと中央アジア","交易と王朝を動かした人","足利義満は東アジアと中央アジアで王朝政治、草原の交流、紙や印刷、海と陸の交易に関わりました。人と物と考えが広く移動した時代を表します。","🐫","カタログのみ"
"一休宗純","一休宗純","交易と王国の時代","東アジアと中央アジア","交易と王朝を動かした人","一休宗純は東アジアと中央アジアで王朝政治、草原の交流、紙や印刷、海と陸の交易に関わりました。人と物と考えが広く移動した時代を表します。","🐫","カタログのみ"
"ユスティニアヌス","ユスティニアヌス","交易と王国の時代","ヨーロッパ・アフリカ・アメリカ","王国と都市を支えた人","ユスティニアヌスはヨーロッパ・アフリカ・アメリカで王国、都市、大学、交易、巡礼、建築、文学に関わりました。地域ごとの文化が交流しながら発展したことを示します。","🏰","図鑑"
"テオドラ","テオドラ","交易と王国の時代","ヨーロッパ・アフリカ・アメリカ","王国と都市を支えた人","テオドラはヨーロッパ・アフリカ・アメリカで王国、都市、大学、交易、巡礼、建築、文学に関わりました。地域ごとの文化が交流しながら発展したことを示します。","🏰","図鑑"
"ヘラクレイオス","ヘラクレイオス","交易と王国の時代","ヨーロッパ・アフリカ・アメリカ","王国と都市を支えた人","ヘラクレイオスはヨーロッパ・アフリカ・アメリカで王国、都市、大学、交易、巡礼、建築、文学に関わりました。地域ごとの文化が交流しながら発展したことを示します。","🏰","図鑑"
"バシレイオス2世","バシレイオス2世","交易と王国の時代","ヨーロッパ・アフリカ・アメリカ","王国と都市を支えた人","バシレイオス2世はヨーロッパ・アフリカ・アメリカで王国、都市、大学、交易、巡礼、建築、文学に関わりました。地域ごとの文化が交流しながら発展したことを示します。","🏰","図鑑"
"ウラジーミル1世","ウラジーミル1世","交易と王国の時代","ヨーロッパ・アフリカ・アメリカ","王国と都市を支えた人","ウラジーミル1世はヨーロッパ・アフリカ・アメリカで王国、都市、大学、交易、巡礼、建築、文学に関わりました。地域ごとの文化が交流しながら発展したことを示します。","🏰","図鑑"
"ヤロスラフ賢公","ヤロスラフ賢公","交易と王国の時代","ヨーロッパ・アフリカ・アメリカ","王国と都市を支えた人","ヤロスラフ賢公はヨーロッパ・アフリカ・アメリカで王国、都市、大学、交易、巡礼、建築、文学に関わりました。地域ごとの文化が交流しながら発展したことを示します。","🏰","図鑑"
"ウィリアム1世","ウィリアム1世","交易と王国の時代","ヨーロッパ・アフリカ・アメリカ","王国と都市を支えた人","ウィリアム1世はヨーロッパ・アフリカ・アメリカで王国、都市、大学、交易、巡礼、建築、文学に関わりました。地域ごとの文化が交流しながら発展したことを示します。","🏰","図鑑"
"エレノア・オブ・アキテーヌ","エレノア・オブ・アキテーヌ","交易と王国の時代","ヨーロッパ・アフリカ・アメリカ","王国と都市を支えた人","エレノア・オブ・アキテーヌはヨーロッパ・アフリカ・アメリカで王国、都市、大学、交易、巡礼、建築、文学に関わりました。地域ごとの文化が交流しながら発展したことを示します。","🏰","図鑑"
"リチャード1世","リチャード1世","交易と王国の時代","ヨーロッパ・アフリカ・アメリカ","王国と都市を支えた人","リチャード1世はヨーロッパ・アフリカ・アメリカで王国、都市、大学、交易、巡礼、建築、文学に関わりました。地域ごとの文化が交流しながら発展したことを示します。","🏰","図鑑"
"ジョン王","ジョン王","交易と王国の時代","ヨーロッパ・アフリカ・アメリカ","王国と都市を支えた人","ジョン王はヨーロッパ・アフリカ・アメリカで王国、都市、大学、交易、巡礼、建築、文学に関わりました。地域ごとの文化が交流しながら発展したことを示します。","🏰","図鑑"
"サラディン","サラディン","交易と王国の時代","ヨーロッパ・アフリカ・アメリカ","王国と都市を支えた人","サラディンはヨーロッパ・アフリカ・アメリカで王国、都市、大学、交易、巡礼、建築、文学に関わりました。地域ごとの文化が交流しながら発展したことを示します。","🏰","図鑑"
"リチャード・ド・ベリー","リチャード・ド・ベリー","交易と王国の時代","ヨーロッパ・アフリカ・アメリカ","王国と都市を支えた人","リチャード・ド・ベリーはヨーロッパ・アフリカ・アメリカで王国、都市、大学、交易、巡礼、建築、文学に関わりました。地域ごとの文化が交流しながら発展したことを示します。","🏰","図鑑"
